"time","biomass","schedule","regime"
553,0.0631913668887113,"Unfished reference","Oscillating (resource_decrease=0.005)"
553.2,0.0734923030454027,"Unfished reference","Oscillating (resource_decrease=0.005)"
553.4,0.0851555622704866,"Unfished reference","Oscillating (resource_decrease=0.005)"
553.6,0.096410271510887,"Unfished reference","Oscillating (resource_decrease=0.005)"
553.8,0.105333752186212,"Unfished reference","Oscillating (resource_decrease=0.005)"
554,0.110242785247065,"Unfished reference","Oscillating (resource_decrease=0.005)"
554.2,0.110288006530332,"Unfished reference","Oscillating (resource_decrease=0.005)"
554.4,0.106890447052607,"Unfished reference","Oscillating (resource_decrease=0.005)"
554.6,0.103743285855523,"Unfished reference","Oscillating (resource_decrease=0.005)"
554.8,0.103262632510761,"Unfished reference","Oscillating (resource_decrease=0.005)"
555,0.105230950454132,"Unfished reference","Oscillating (resource_decrease=0.005)"
555.2,0.108289939941103,"Unfished reference","Oscillating (resource_decrease=0.005)"
555.4,0.110975292337035,"Unfished reference","Oscillating (resource_decrease=0.005)"
555.6,0.112147561440929,"Unfished reference","Oscillating (resource_decrease=0.005)"
555.8,0.111126136724756,"Unfished reference","Oscillating (resource_decrease=0.005)"
556,0.107664213787534,"Unfished reference","Oscillating (resource_decrease=0.005)"
556.2,0.102031323451192,"Unfished reference","Oscillating (resource_decrease=0.005)"
556.4,0.0950355731580815,"Unfished reference","Oscillating (resource_decrease=0.005)"
556.6,0.0877187852909252,"Unfished reference","Oscillating (resource_decrease=0.005)"
556.8,0.0808771025027432,"Unfished reference","Oscillating (resource_decrease=0.005)"
557,0.0747688632649617,"Unfished reference","Oscillating (resource_decrease=0.005)"
557.2,0.0692097457539863,"Unfished reference","Oscillating (resource_decrease=0.005)"
557.4,0.0639445963397436,"Unfished reference","Oscillating (resource_decrease=0.005)"
557.6,0.0589546260890536,"Unfished reference","Oscillating (resource_decrease=0.005)"
557.8,0.054515851417432,"Unfished reference","Oscillating (resource_decrease=0.005)"
558,0.0511192343636231,"Unfished reference","Oscillating (resource_decrease=0.005)"
558.2,0.0493742191602526,"Unfished reference","Oscillating (resource_decrease=0.005)"
558.4,0.0499203127289462,"Unfished reference","Oscillating (resource_decrease=0.005)"
558.6,0.0533122652664921,"Unfished reference","Oscillating (resource_decrease=0.005)"
558.8,0.0598298927379113,"Unfished reference","Oscillating (resource_decrease=0.005)"
559,0.0692261045593369,"Unfished reference","Oscillating (resource_decrease=0.005)"
559.2,0.080545862764846,"Unfished reference","Oscillating (resource_decrease=0.005)"
559.4,0.0921898890712019,"Unfished reference","Oscillating (resource_decrease=0.005)"
559.6,0.102244858368024,"Unfished reference","Oscillating (resource_decrease=0.005)"
559.8,0.108889337276852,"Unfished reference","Oscillating (resource_decrease=0.005)"
560,0.110828580906994,"Unfished reference","Oscillating (resource_decrease=0.005)"
560.2,0.108406626539905,"Unfished reference","Oscillating (resource_decrease=0.005)"
560.4,0.104720170740737,"Unfished reference","Oscillating (resource_decrease=0.005)"
560.6,0.103104145693786,"Unfished reference","Oscillating (resource_decrease=0.005)"
560.8,0.104249020436527,"Unfished reference","Oscillating (resource_decrease=0.005)"
561,0.107063556217228,"Unfished reference","Oscillating (resource_decrease=0.005)"
561.2,0.110054458158191,"Unfished reference","Oscillating (resource_decrease=0.005)"
561.4,0.11192322007856,"Unfished reference","Oscillating (resource_decrease=0.005)"
561.6,0.111811573369714,"Unfished reference","Oscillating (resource_decrease=0.005)"
561.8,0.109301732085394,"Unfished reference","Oscillating (resource_decrease=0.005)"
562,0.104446841532425,"Unfished reference","Oscillating (resource_decrease=0.005)"
562.2,0.0978615484602063,"Unfished reference","Oscillating (resource_decrease=0.005)"
562.4,0.090551785151511,"Unfished reference","Oscillating (resource_decrease=0.005)"
562.6,0.0834620174168779,"Unfished reference","Oscillating (resource_decrease=0.005)"
562.8,0.0770716253386186,"Unfished reference","Oscillating (resource_decrease=0.005)"
563,0.0713338051304615,"Unfished reference","Oscillating (resource_decrease=0.005)"
563.2,0.0659730177427944,"Unfished reference","Oscillating (resource_decrease=0.005)"
563.4,0.0608579361374534,"Unfished reference","Oscillating (resource_decrease=0.005)"
563.6,0.0561551788295677,"Unfished reference","Oscillating (resource_decrease=0.005)"
563.8,0.052283790556109,"Unfished reference","Oscillating (resource_decrease=0.005)"
564,0.049817625007439,"Unfished reference","Oscillating (resource_decrease=0.005)"
564.2,0.0493954575462336,"Unfished reference","Oscillating (resource_decrease=0.005)"
564.4,0.0516228079305415,"Unfished reference","Oscillating (resource_decrease=0.005)"
564.6,0.0569150276331951,"Unfished reference","Oscillating (resource_decrease=0.005)"
564.8,0.0652603645536295,"Unfished reference","Oscillating (resource_decrease=0.005)"
565,0.075989048582137,"Unfished reference","Oscillating (resource_decrease=0.005)"
565.2,0.0877262206285301,"Unfished reference","Oscillating (resource_decrease=0.005)"
565.4,0.0986315312033865,"Unfished reference","Oscillating (resource_decrease=0.005)"
565.6,0.106803140500941,"Unfished reference","Oscillating (resource_decrease=0.005)"
565.8,0.110667218230727,"Unfished reference","Oscillating (resource_decrease=0.005)"
566,0.109726723257574,"Unfished reference","Oscillating (resource_decrease=0.005)"
566.2,0.106049196669919,"Unfished reference","Oscillating (resource_decrease=0.005)"
566.4,0.103384712321846,"Unfished reference","Oscillating (resource_decrease=0.005)"
566.6,0.103524569664817,"Unfished reference","Oscillating (resource_decrease=0.005)"
566.8,0.105861659565387,"Unfished reference","Oscillating (resource_decrease=0.005)"
567,0.108957417666847,"Unfished reference","Oscillating (resource_decrease=0.005)"
567.2,0.11139251777823,"Unfished reference","Oscillating (resource_decrease=0.005)"
567.4,0.112126733024886,"Unfished reference","Oscillating (resource_decrease=0.005)"
567.6,0.110575416095417,"Unfished reference","Oscillating (resource_decrease=0.005)"
567.8,0.106594001457565,"Unfished reference","Oscillating (resource_decrease=0.005)"
568,0.100577885475543,"Unfished reference","Oscillating (resource_decrease=0.005)"
568.2,0.0934238512164397,"Unfished reference","Oscillating (resource_decrease=0.005)"
568.4,0.0861597323368739,"Unfished reference","Oscillating (resource_decrease=0.005)"
568.6,0.0794764028677457,"Unfished reference","Oscillating (resource_decrease=0.005)"
568.8,0.073513348751583,"Unfished reference","Oscillating (resource_decrease=0.005)"
569,0.0680353773915194,"Unfished reference","Oscillating (resource_decrease=0.005)"
569.2,0.062821314030795,"Unfished reference","Oscillating (resource_decrease=0.005)"
569.4,0.0579195419451908,"Unfished reference","Oscillating (resource_decrease=0.005)"
569.6,0.0536617611774996,"Unfished reference","Oscillating (resource_decrease=0.005)"
569.8,0.0505727494429094,"Unfished reference","Oscillating (resource_decrease=0.005)"
570,0.0492762217594218,"Unfished reference","Oscillating (resource_decrease=0.005)"
570.2,0.050404925665857,"Unfished reference","Oscillating (resource_decrease=0.005)"
570.4,0.0544727213843752,"Unfished reference","Oscillating (resource_decrease=0.005)"
570.6,0.0616658251580528,"Unfished reference","Oscillating (resource_decrease=0.005)"
570.8,0.0715911696786272,"Unfished reference","Oscillating (resource_decrease=0.005)"
571,0.0831363250423382,"Unfished reference","Oscillating (resource_decrease=0.005)"
