"rel_amplitude","mean_yield","threshold_frac","threshold_bp","fish_level","schedule","mean_effort","background_level","effective_window","n_bursts","resource_decrease"
0.649358013784346,2.39604217155022e-05,0.95,5.99760473436409e-05,0.8,"Threshold (troughs)",0.7999999983391,0,30,1,0.005
0.547160057084971,2.85716261863248e-05,0.05,1.63468270440339e-05,1,"Threshold (peaks)",0.985350556929533,0,30,1,0.005
0.995432097219914,2.2059830048009e-06,0.05,1.63468270440339e-05,1,"Threshold (troughs)",0.164832707538426,0,0.999999999999999,5,0.005
0.490344871603359,2.83637603576078e-05,0.15,1.81778376554505e-05,1,"Threshold (peaks)",0.966987135978141,0,30,1,0.005
1.08222858477173,2.86790423686398e-06,0.15,1.81778376554505e-05,1,"Threshold (troughs)",0.220182018289914,0,1.36,5,0.005
0.347745719471017,2.73306155544351e-05,0.25,2.16701480727288e-05,1,"Threshold (peaks)",0.93006208726578,0,30,1,0.005
1.17880153460577,3.85704439541025e-06,0.25,2.16701480727288e-05,1,"Threshold (troughs)",0.289142973002309,0,1.72,5,0.005
0.00014653569181895,2.5821474360805e-05,0.35,2.71791058548242e-05,1,"Threshold (peaks)",0.889108286626098,0,30,1,0.005
1.26573737862716,8.99516173780664e-06,0.35,2.71791058548242e-05,1,"Threshold (troughs)",0.505670369876356,0,3,5,0.005
2.04046676643706e-07,7.03806031070642e-06,0.45,3.37974721473825e-05,1,"Threshold (peaks)",0.215615010158879,0,0,0,0.005
1.28980523141708,1.13170442634732e-05,0.45,3.37974721473825e-05,1,"Threshold (troughs)",0.609221942538606,0,3.67999999999999,5,0.005
0.282074107627418,4.99614505494488e-06,0.55,3.97164844932983e-05,1,"Threshold (peaks)",0.127866036950131,0,0,0,0.005
1.27895285556613,1.25177710404427e-05,0.55,3.97164844932983e-05,1,"Threshold (troughs)",0.650722276357233,0,3.91999999999999,5,0.005
0.451524744295825,4.69530359246314e-06,0.65,4.35911712764265e-05,1,"Threshold (peaks)",0.108921274495417,0,0,0,0.005
1.25105691669235,1.39602518837036e-05,0.65,4.35911712764265e-05,1,"Threshold (troughs)",0.685097123950595,0,4.11999999999999,5,0.005
0.573141596079922,4.17312254263131e-06,0.75,4.79822532650051e-05,1,"Threshold (peaks)",0.0880890278317055,0,0,0,0.005
0.586693568524288,2.88254130109108e-05,0.75,4.79822532650051e-05,1,"Threshold (troughs)",0.999967860783334,0,30,1,0.005
0.692568108606763,1.8712119207588e-06,0.85,5.48257820455267e-05,1,"Threshold (peaks)",0.0347875077633112,0,0,0,0.005
0.586426685005238,2.88253038535048e-05,0.85,5.48257820455267e-05,1,"Threshold (troughs)",0.999999984728363,0,30,1,0.005
0.750824662257312,6.58618100618277e-07,0.95,5.99760473436409e-05,1,"Threshold (peaks)",0.0113285447322011,0,0,0,0.005
0.586426550876928,2.88253038209994e-05,0.95,5.99760473436409e-05,1,"Threshold (troughs)",0.999999999951642,0,30,1,0.005
