"resource_decrease","capacity_mult","rel_amplitude","perturbed_verdict","error","lambda"
0.151991108295293,5.281951900505,3.24025053617892e-07,"settled",NA,2
0.28480358684358,5.281951900505,3.24025053793605e-07,"settled",NA,2
0.533669923120631,5.281951900505,3.24025053792993e-07,"settled",NA,2
1,5.281951900505,3.24025053709335e-07,"settled",NA,2
0.001,7.36806299728077,4.33900611692409e-07,"settled",NA,2
0.00187381742286038,7.36806299728077,4.71231752767742e-07,"settled",NA,2
0.00351119173421513,7.36806299728077,4.81578085615435e-07,"settled",NA,2
0.00657933224657568,7.36806299728077,4.82932519956804e-07,"settled",NA,2
0.0123284673944207,7.36806299728077,4.83001347744231e-07,"settled",NA,2
0.0231012970008316,7.36806299728077,4.83002392146277e-07,"settled",NA,2
0.0432876128108306,7.36806299728077,4.83002398228291e-07,"settled",NA,2
0.0811130830789687,7.36806299728077,4.83002399214928e-07,"settled",NA,2
0.151991108295293,7.36806299728077,4.83002399789748e-07,"settled",NA,2
0.28480358684358,7.36806299728077,4.83002400117492e-07,"settled",NA,2
0.533669923120631,7.36806299728077,4.83002400261708e-07,"settled",NA,2
1,7.36806299728077,4.83002400403814e-07,"settled",NA,2
0.001,10.2780853280219,6.36273600126247e-07,"settled",NA,2
0.00187381742286038,10.2780853280219,6.88348706293068e-07,"settled",NA,2
0.00351119173421513,10.2780853280219,7.02781330506347e-07,"settled",NA,2
0.00657933224657568,10.2780853280219,7.04670698284152e-07,"settled",NA,2
0.0123284673944207,10.2780853280219,7.04766695623751e-07,"settled",NA,2
0.0231012970008316,10.2780853280219,7.0476810052486e-07,"settled",NA,2
0.0432876128108306,10.2780853280219,7.04768109385427e-07,"settled",NA,2
0.0811130830789687,10.2780853280219,7.04768109069255e-07,"settled",NA,2
0.151991108295293,10.2780853280219,7.04768108755404e-07,"settled",NA,2
0.28480358684358,10.2780853280219,7.04768108440731e-07,"settled",NA,2
0.533669923120631,10.2780853280219,7.04768108559445e-07,"settled",NA,2
1,10.2780853280219,7.04768108363403e-07,"settled",NA,2
0.001,14.3374232887377,9.18574255032371e-07,"settled",NA,2
0.00187381742286038,14.3374232887377,9.91216467055057e-07,"settled",NA,2
0.00351119173421513,14.3374232887377,1.01134926232298e-06,"oscillating",NA,2
0.00657933224657568,14.3374232887377,1.01398483654213e-06,"oscillating",NA,2
0.0123284673944207,14.3374232887377,1.01411871599359e-06,"oscillating",NA,2
0.0231012970008316,14.3374232887377,1.01412071040724e-06,"oscillating",NA,2
0.0432876128108306,14.3374232887377,1.01412070705082e-06,"oscillating",NA,2
0.0811130830789687,14.3374232887377,1.01412070749257e-06,"oscillating",NA,2
0.151991108295293,14.3374232887377,1.01412070779586e-06,"oscillating",NA,2
0.28480358684358,14.3374232887377,1.01412070810552e-06,"oscillating",NA,2
0.533669923120631,14.3374232887377,1.01412070802201e-06,"oscillating",NA,2
1,14.3374232887377,1.01412070810145e-06,"oscillating",NA,2
0.001,20,1.312370359815e-06,"oscillating",NA,2
0.00187381742286038,20,1.41370268039192e-06,"oscillating",NA,2
0.00351119173421513,20,1.44178693150797e-06,"oscillating",NA,2
0.00657933224657568,20,1.4454634154125e-06,"oscillating",NA,2
0.0123284673944207,20,1.44565020022142e-06,"oscillating",NA,2
0.0231012970008316,20,1.44565304367741e-06,"oscillating",NA,2
0.0432876128108306,20,1.4456530589615e-06,"oscillating",NA,2
0.0811130830789687,20,1.4456530588406e-06,"oscillating",NA,2
0.151991108295293,20,1.44565305902758e-06,"oscillating",NA,2
0.28480358684358,20,1.44565305920188e-06,"oscillating",NA,2
0.533669923120631,20,1.44565305936638e-06,"oscillating",NA,2
1,20,1.44565305921734e-06,"oscillating",NA,2
0.001,1,5.85763755467371e-09,"settled",NA,2.05
0.00187381742286038,1,2.14396429131281e-09,"settled",NA,2.05
0.00351119173421513,1,1.03705330425183e-09,"settled",NA,2.05
0.00657933224657568,1,8.80682218203858e-10,"settled",NA,2.05
0.0123284673944207,1,8.72130506780507e-10,"settled",NA,2.05
0.0231012970008316,1,8.72036647135632e-10,"settled",NA,2.05
0.0432876128108306,1,8.72040322931815e-10,"settled",NA,2.05
0.0811130830789687,1,8.72041836409276e-10,"settled",NA,2.05
0.151991108295293,1,8.72042917530624e-10,"settled",NA,2.05
0.28480358684358,1,8.7204356621652e-10,"settled",NA,2.05
0.533669923120631,1,8.7204378242433e-10,"settled",NA,2.05
1,1,8.72043998658405e-10,"settled",NA,2.05
0.001,1.39495079396242,1.09963004123503e-08,"settled",NA,2.05
0.00187381742286038,1.39495079396242,1.61766792920459e-08,"settled",NA,2.05
0.00351119173421513,1.39495079396242,1.77207771402216e-08,"settled",NA,2.05
0.00657933224657568,1.39495079396242,1.79388798683142e-08,"settled",NA,2.05
0.0123284673944207,1.39495079396242,1.79506986024421e-08,"settled",NA,2.05
0.0231012970008316,1.39495079396242,1.7950811888069e-08,"settled",NA,2.05
0.0432876128108306,1.39495079396242,1.79508110033765e-08,"settled",NA,2.05
0.0811130830789687,1.39495079396242,1.7950809262722e-08,"settled",NA,2.05
0.151991108295293,1.39495079396242,1.79508081757669e-08,"settled",NA,2.05
0.28480358684358,1.39495079396242,1.79508075239696e-08,"settled",NA,2.05
0.533669923120631,1.39495079396242,1.7950807306106e-08,"settled",NA,2.05
1,1.39495079396242,1.79508070889965e-08,"settled",NA,2.05
0.001,1.94588771757639,3.45067037113345e-08,"settled",NA,2.05
0.00187381742286038,1.94588771757639,4.17330460513043e-08,"settled",NA,2.05
0.00351119173421513,1.94588771757639,4.3886977477046e-08,"settled",NA,2.05
0.00657933224657568,1.94588771757639,4.4191218517033e-08,"settled",NA,2.05
0.0123284673944207,1.94588771757639,4.42078050473189e-08,"settled",NA,2.05
0.0231012970008316,1.94588771757639,4.42080778466088e-08,"settled",NA,2.05
0.0432876128108306,1.94588771757639,4.42080803743012e-08,"settled",NA,2.05
0.0811130830789687,1.94588771757639,4.4208080338068e-08,"settled",NA,2.05
0.151991108295293,1.94588771757639,4.42080805349634e-08,"settled",NA,2.05
0.28480358684358,1.94588771757639,4.42080805246337e-08,"settled",NA,2.05
0.533669923120631,1.94588771757639,4.42080805191363e-08,"settled",NA,2.05
1,1.94588771757639,4.420808051623e-08,"settled",NA,2.05
0.001,2.71441761659491,6.73025364246549e-08,"settled",NA,2.05
0.00187381742286038,2.71441761659491,7.73829544883172e-08,"settled",NA,2.05
0.00351119173421513,2.71441761659491,8.03875924295744e-08,"settled",NA,2.05
0.00657933224657568,2.71441761659491,8.08120134444848e-08,"settled",NA,2.05
0.0123284673944207,2.71441761659491,8.08352317654369e-08,"settled",NA,2.05
0.0231012970008316,2.71441761659491,8.08356140160424e-08,"settled",NA,2.05
0.0432876128108306,2.71441761659491,8.0835612113837e-08,"settled",NA,2.05
0.0811130830789687,2.71441761659491,8.08356115888897e-08,"settled",NA,2.05
0.151991108295293,2.71441761659491,8.08356113232236e-08,"settled",NA,2.05
0.28480358684358,2.71441761659491,8.08356112968754e-08,"settled",NA,2.05
0.533669923120631,2.71441761659491,8.08356110665899e-08,"settled",NA,2.05
1,2.71441761659491,8.08356112754401e-08,"settled",NA,2.05
0.001,3.78647900941465,1.1305113010825e-07,"settled",NA,2.05
0.00187381742286038,3.78647900941465,1.27112842996727e-07,"settled",NA,2.05
0.00351119173421513,3.78647900941465,1.31304163898165e-07,"settled",NA,2.05
0.00657933224657568,3.78647900941465,1.31896213634842e-07,"settled",NA,2.05
