"fish_level","mean_total","min_total","mean_selected","mean_juvenile","mean_yield","rel_amplitude","theta","interaction_resource","knife_edge_size"
3,0.237862287736761,0.232647860637044,0.0054900219663171,0.232372265770444,0.0457830640560001,0.0396758370621694,0.7,2,7
5,0.217261529494155,0.199875077909458,0.0040284980121401,0.213233031482015,0.0710639069638965,0.152756358285746,0.7,2,7
9,0.220387968930396,0.14150501213655,0.00263921365119489,0.217748755279202,0.0987784134108954,0.621207680037709,0.7,2,7
15,0.235912756158831,0.0954921436988831,0.00136703009557289,0.234545726063258,0.109480619321762,1.07703586877143,0.7,2,7
20,0.245445321164556,0.0692039868958647,0.000800594380687924,0.244644726783868,0.10081594441023,1.29974990021911,0.7,2,7
25,0.228243420459128,0.0540868838641009,0.000794655842812102,0.227448764616316,0.127379410366307,1.42124046934408,0.7,2,7
30,0.225986368777698,0.0466886315720509,0.000587976436202067,0.225398392341496,0.132165495925027,1.47348056367098,0.7,2,7
50,0.192503695140805,0.0286409440504439,0.000190652699728372,0.192313042441077,0.141013023162312,1.59761584083268,0.7,2,7
100,0.130570682056659,0.0266614572124485,6.11599524759896e-05,0.130509522104183,0.233881376493539,1.47056871070246,0.7,2,7
1,0.503608435720083,0.467823992935998,0.00801416061159594,0.495594275108487,0.0151545394218231,0.162606775082385,0.7,3,5
3,0.436841550345791,0.388413625570037,0.00440630546064637,0.432435244885144,0.0323752397175544,0.24893760636911,0.7,3,5
5,0.370564391098715,0.305719371033669,0.00244135858689075,0.368123032511824,0.041558036906001,0.383476289660368,0.7,3,5
9,0.25101978296152,0.1651670866539,0.000880758009405869,0.250139024952114,0.0739179702063866,0.772849942765456,0.7,3,5
15,0.228009229689398,0.0798178323001903,0.000560329110483561,0.227448900578915,0.0983694588033927,1.16556788036954,0.7,3,5
20,0.247065226698435,0.0449892710854581,0.000456208926463414,0.246609017771972,0.104983427542476,1.49790546026646,0.7,3,5
25,0.240182851124148,0.047261383954677,0.00026841029400687,0.239914440830142,0.105247245512403,1.45557052776243,0.7,3,5
30,0.218292008665004,0.0206539301118923,0.000176027409629537,0.218115981255374,0.10168909872733,1.71941157117428,0.7,3,5
50,0.146366872068588,0.00633446051294913,6.83163193351987e-05,0.146298555749253,0.161761432488188,1.89513853165042,0.7,3,5
100,0.0762052618581902,0.00415029174730134,4.34862026581419e-05,0.076161775655532,0.339554694714897,1.92944522853799,0.7,3,5
1,0.509196448780329,0.474587954912987,0.00857443409872215,0.500622014681607,0.012103619452798,0.156071431460405,0.7,3,7
3,0.457962340496644,0.414979976837367,0.00549491743475159,0.452467423061892,0.0265021728875756,0.213569241293171,0.7,3,7
5,0.410574164684619,0.358704463834523,0.00365307489395209,0.406921089790667,0.0340002943095838,0.284760251669509,0.7,3,7
9,0.329693189191821,0.260629035577564,0.00175582830316366,0.327937360888657,0.0417338825434155,0.465604202032442,0.7,3,7
15,0.244415913181148,0.175618331773289,0.000762323428602059,0.243653589752546,0.0595602936048,0.687589611281034,0.7,3,7
20,0.209996706291709,0.144623530843832,0.000475651038452834,0.209521055253257,0.0756105317424073,0.777087681878451,0.7,3,7
25,0.190408383295923,0.122523642726051,0.000326737264321117,0.190081646031602,0.0897201589418525,0.860257986722712,0.7,3,7
30,0.1776556961589,0.105016105478037,0.000261170504523122,0.177394525654377,0.106101726012083,0.945110274637162,0.7,3,7
50,0.165287212351634,0.070221110543997,0.000133444858322375,0.165153767493312,0.127782552128087,1.16557539023071,0.7,3,7
100,0.147463535408012,0.0426240195037986,3.63635207082478e-05,0.147427171887304,0.152402631725108,1.42064094834528,0.7,3,7
1,0.515917465462325,0.482674017869118,0.00920660164645044,0.506710863815875,0.00920660164645044,0.148750893181357,0.7,3,10
3,0.480858897388479,0.442767472352382,0.00687861747292404,0.473980279915555,0.0206358524187721,0.182659698714767,0.7,3,10
5,0.451152371379911,0.409054612293569,0.0053995348627689,0.445752836517143,0.0269976743138445,0.21458874061006,0.7,3,10
9,0.40516396663514,0.357335665609889,0.00369000162494352,0.401473965010197,0.0332100146244917,0.27318657559737,0.7,3,10
15,0.359216041264527,0.307303251339457,0.00245673198882821,0.356759309275699,0.0368509798324232,0.341066189751066,0.7,3,10
20,0.333877529744463,0.281442670151958,0.00191757035102638,0.331959959393437,0.0383514070205275,0.379501810139609,0.7,3,10
25,0.315728839756672,0.264374463857575,0.00157662554531073,0.314152214211361,0.0394156386327683,0.404559972387426,0.7,3,10
