"t","fish_level","selected","total"
38,18,0.000211139016905247,0.13407783560738
38.2,18,0.000166125467755467,0.177650797153503
38.4,18,9.38230428879337e-05,0.180985058340498
38.6,18,8.16780262517238e-05,0.152408717882379
38.8,18,0.000218792981869702,0.0911120037588878
39,18,0.00106544347817431,0.0312645545160662
39.2,18,0.000865104318031603,0.0131294322838913
39.4,18,0.00025276454867164,0.0324552572641956
39.6,18,0.000187382418664323,0.0967432549362158
39.8,18,0.000204107225515154,0.161430447267701
40,18,0.000124571135741728,0.18346970085426
40.2,18,7.91854050513919e-05,0.170940472533628
40.4,18,0.000112144211276394,0.125730200977919
40.6,18,0.000522296057576376,0.0570750490241223
40.8,18,0.00124301691738022,0.0175285996180882
41,18,0.000472094547098074,0.0174751527638419
41.2,18,0.000181102225594147,0.0593680335533996
41.4,18,0.000210816041167304,0.133237601901721
41.6,18,0.000167231046367028,0.177382262968776
41.8,18,9.43978317366541e-05,0.18114300561017
42,18,8.13487550417936e-05,0.152977388712397
42.2,18,0.000214360895502956,0.0920185089889829
42.4,18,0.00105301054595086,0.031757196261895
42.6,18,0.000876684296375311,0.0131319219919724
42.8,18,0.000256142130660466,0.0319312109929
43,18,0.000186745897689617,0.095764435288985
43.2,18,0.000204750878259361,0.160876154691041
43.4,18,0.00012552409896847,0.183427720050023
