"D","alpha","beta","gamma","beta_gamma","B","Cc","disc","sum_positive","disc_nonneg","hopf_possible"
0.0222754295199956,0.0371257158666593,0.6,0.00742514317333186,0.00445508590399912,-0.00753185302938632,0.00011908674247207,-0.000419618159832004,TRUE,FALSE,FALSE
0.0233288309786416,0.0388813849644026,0.6,0.00777627699288053,0.00466576619572832,-0.00781977029470656,0.000130616245159207,-0.000461316173174851,TRUE,FALSE,FALSE
0.0244320476218649,0.0407200793697749,0.6,0.00814401587395497,0.00488640952437298,-0.0081146941848652,0.000143261988239298,-0.000507199691243307,TRUE,FALSE,FALSE
0.0255874352016859,0.0426457253361432,0.6,0.00852914506722864,0.00511748704033718,-0.0084163161912286,0.000157132041648114,-0.000557693788361719,TRUE,FALSE,FALSE
0.0267974608732569,0.0446624347887616,0.6,0.00893248695775231,0.00535949217465139,-0.0087242512680424,0.000172344938220897,-0.000613267192695648,TRUE,FALSE,FALSE
0.0280647084630984,0.046774514105164,0.6,0.0093549028210328,0.00561294169261968,-0.00903802821546517,0.00018903068666849,-0.000674436792650414,TRUE,FALSE,FALSE
0.0293918839864689,0.0489864733107815,0.6,0.00979729466215629,0.00587837679729378,-0.00935707902715965,0.000207331882625771,-0.000741772602582573,TRUE,FALSE,FALSE
0.0307818214256508,0.051303035709418,0.6,0.0102606071418836,0.00615636428513016,-0.0096807270972585,0.000227404927267357,-0.000815903231937834,TRUE,FALSE,FALSE
0.0322374887814903,0.0537291479691506,0.6,0.0107458295938301,0.00644749775629807,-0.0100081741711053,0.000249421363904812,-0.000897521905380068,TRUE,FALSE,FALSE
0.0337619944111134,0.0562699906851891,0.6,0.0112539981370378,0.00675239888222269,-0.0103384859127341,0.000273569343987853,-0.000987393084983611,TRUE,FALSE,FALSE
0.0353585936653518,0.058930989442253,0.6,0.0117861978884506,0.00707171873307036,-0.0106705759494978,0.00030005523503795,-0.0010863597490578,TRUE,FALSE,FALSE
0.0370306958400514,0.0617178264000857,0.6,0.0123435652800171,0.00740613916801029,-0.0110031882404695,0.000329105384255617,-0.00119535138556726,TRUE,FALSE,FALSE
0.0387818714561073,0.0646364524268454,0.6,0.0129272904853691,0.00775637429122145,-0.011334877600115,0.000360968052873126,-0.00131539276128292,TRUE,FALSE,FALSE
0.0406158598837698,0.067693099806283,0.6,0.0135386199612566,0.00812317197675396,-0.0116639881921245,0.000395915537783525,-0.00144761353058808,TRUE,FALSE,FALSE
0.0425365773275039,0.0708942955458398,0.6,0.014178859109168,0.00850731546550078,-0.0119886297900607,0.000434246498577292,-0.00159325875006604,TRUE,FALSE,FALSE
0.0445481251884499,0.0742468753140832,0.6,0.0148493750628166,0.00890962503768999,-0.012306651581475,0.000476288509873394,-0.00175370036634576,TRUE,FALSE,FALSE
0.0466547988223448,0.0777579980372413,0.6,0.0155515996074483,0.00933095976446895,-0.0126156132701783,0.000522400860756831,-0.00193044974484463,TRUE,FALSE,FALSE
0.0488610967116033,0.0814351611860055,0.6,0.0162870322372011,0.00977221934232066,-0.0129127532072506,0.000572977625246556,-0.00212517130559486,TRUE,FALSE,FALSE
0.0511717300711461,0.0852862167852435,0.6,0.0170572433570487,0.0102343460142292,-0.0131949532549189,0.000628451030033817,-0.00233969732873577,TRUE,FALSE,FALSE
0.0535916329084852,0.0893193881808086,0.6,0.0178638776361617,0.010718326581697,-0.0134587000584001,0.00068929514827148,-0.00257604398582394,TRUE,FALSE,FALSE
0.0561259725595497,0.0935432875992496,0.6,0.0187086575198499,0.0112251945119099,-0.013700042368944,0.000756029950981279,-0.00283642864301426,TRUE,FALSE,FALSE
0.0587801607227492,0.0979669345379153,0.6,0.0195933869075831,0.0117560321445498,-0.0139145440263435,0.000829225750702135,-0.00312328846734749,TRUE,FALSE,FALSE
0.0615598650148351,0.102599775024725,0.6,0.0205199550049451,0.012311973002967,-0.0140972321708098,0.000909508075354734,-0.00343930034654122,TRUE,FALSE,FALSE
0.0644710210732388,0.107451701788731,0.6,0.0214903403577463,0.0128942042146478,-0.0142425402120011,0.000997563013974239,-0.00378740210420649,TRUE,FALSE,FALSE
0.0675198452307251,0.112533075384542,0.6,0.0225066150769084,0.013503969046145,-0.0143442450367871,0.00109414307999546,-0.00417081495430643,TRUE,FALSE,FALSE
