"fish_level","mean_total","min_total","mean_selected","mean_juvenile","mean_yield","rel_amplitude","knife_edge_size","theta","interaction_resource","total_unfished_ref","fraction_of_unfished"
100,0.00129891942850703,0.000378717960562228,5.62639094185424e-08,0.00129886316459761,0.00201172539089773,1.61294741239648,7,1,0.3,0.314405388129312,0.0041313523163057
1,0.293132099015626,0.0130568250221715,0.013971172233895,0.279160926781731,0.013971172233895,1.90893247419029,10,1,0.3,0.314405388129312,0.932338026265197
5,0.242095873219843,0.00759903844752734,0.00716360115118826,0.234932272068654,0.0358180057559413,1.94275724547398,10,1,0.3,0.314405388129312,0.770011845726609
9,0.186025847064284,0.00593951882519571,0.00561303016783776,0.180412816896447,0.0505172715105398,1.94083374912464,10,1,0.3,0.314405388129312,0.59167512418004
20,0.106000411525789,0.00473105782881138,0.00304830264127685,0.102952108884512,0.060966052825537,1.92582418973335,10,1,0.3,0.314405388129312,0.337145658210515
50,0.0651978601308412,0.00403615473393587,0.000982194727820947,0.0642156654030202,0.0491097363910474,1.90540988376277,10,1,0.3,0.314405388129312,0.207368774812555
70,0.0583326764682012,0.00365333205729988,0.000657887585330598,0.0576747888828706,0.0460521309731418,1.90561470870576,10,1,0.3,0.314405388129312,0.185533323125523
85,0.0554296983901339,0.00360258690993593,0.000525325243341492,0.0549043731467925,0.0446526456840269,1.90283337757228,10,1,0.3,0.314405388129312,0.176300090529416
100,0.0534465496065411,0.00363883050782155,0.000436577428557403,0.0530099721779837,0.0436577428557403,1.89868200871263,10,1,0.3,0.314405388129312,0.169992473489541
1,0.311925895276756,0.0153961803800306,0.0173604056033782,0.294565489673378,0.00136297539031071,1.89937214168271,15,1,0.3,0.314405388129312,0.992113707505749
5,0.306425751329131,0.0149066024533976,0.0168194279904204,0.28960632333871,0.00409447767373602,1.89986917618101,15,1,0.3,0.314405388129312,0.97461991078569
9,0.303928096392548,0.0134432720745904,0.0165856305292286,0.28734246586332,0.00524771589831944,1.90827409256038,15,1,0.3,0.314405388129312,0.9666758518386
20,0.301154498442296,0.0132266600980426,0.0163289931319141,0.284825505310382,0.00648851166310867,1.90824653524296,15,1,0.3,0.314405388129312,0.957854126591601
50,0.299248497544285,0.0138460711249375,0.0161520200841231,0.283096477460162,0.00732619678685925,1.90288992907049,15,1,0.3,0.314405388129312,0.951791886661964
70,0.298830112378756,0.01352624538429,0.0161128948920793,0.282717217486676,0.00750920795947968,1.90481825900887,15,1,0.3,0.314405388129312,0.950461167846937
85,0.298639158227985,0.0133921438426928,0.0160949913158567,0.282544166912128,0.00759267753283779,1.9056199636281,15,1,0.3,0.314405388129312,0.94985381772515
100,0.298503091995526,0.013301082730716,0.0160822146180359,0.28242087737749,0.00765213747316285,1.90616136253874,15,1,0.3,0.314405388129312,0.949421044504348
1,0.648886151562218,0.487022127567119,0.00298242738722354,0.645903724174994,0.0311499396994757,0.388421735648756,3,1,0.7,0.638857029889724,1.01569853848869
5,0.434173848969375,0.0196067466609593,0.00130500824145144,0.432868840727923,0.125405379500399,1.87739147790332,3,1,0.7,0.638857029889724,0.679610348882471
9,0.224981807555071,0.00806146963181418,0.000651502249369794,0.224330305305701,0.233884653126857,1.92020235980273,3,1,0.7,0.638857029889724,0.352162998963799
20,0.00792807379898137,0.0025458535400019,3.20617533951045e-05,0.00789601204558627,0.036389197923541,1.56339769786135,3,1,0.7,0.638857029889724,0.0124097778189118
50,1.46061468598425e-07,2.01565729793058e-15,8.8280289807194e-12,1.46052640569445e-07,1.21256288959095e-06,1.99999999710869,3,1,0.7,0.638857029889724,2.28629351740307e-07
70,2.93180557075595e-09,9.95556489333608e-21,1.96687503939418e-14,2.93178590200555e-09,2.88168621584181e-08,1.99999999999939,3,1,0.7,0.638857029889724,4.58914191061186e-09
85,4.21226288861614e-10,1.97846905401285e-23,6.82356571020892e-16,4.21225606505043e-10,4.53966002429047e-09,1.99999999999999,3,1,0.7,0.638857029889724,6.59343591999487e-10
100,1.12512247010419e-10,2.63147328124977e-25,5.02295506975452e-17,1.12512196780868e-10,1.29710362734819e-09,2,3,1,0.7,0.638857029889724,1.7611490794715e-10
1,0.661777787938926,0.501134986304953,0.0040066559488733,0.657771131990053,0.0164603286520497,0.37653572979622,5,1,0.7,0.638857029889724,1.03587775821009
5,0.566806664909757,0.28107617120106,0.000479725526093949,0.566326939383663,0.0513979081133429,0.824003516223397,5,1,0.7,0.638857029889724,0.887219891761378
9,0.3943647531947,0.0125188068606941,0.000741651703957174,0.393623101490743,0.0981840422447792,1.90967585378362,5,1,0.7,0.638857029889724,0.6172973525278
20,0.0955475151020758,0.00334862828780623,0.00038861751234458,0.0951588975897312,0.2181084443273,1.93358820620338,5,1,0.7,0.638857029889724,0.149560090335969
50,0.00138694080714589,0.000280203674045112,1.13126021673638e-06,0.00138580954692915,0.0060349280840068,1.8174055101985,5,1,0.7,0.638857029889724,0.00217097213031418
