"rel_amplitude","mean_yield","window","fish_level","schedule","mean_effort","resource_decrease","n_peaks","n_troughs"
1.0562793454898,1.08341471988686e-06,0.5,0.2,"Troughs only",0.0395209580838323,0.00357469491918464,33,33
1.01442399190831,4.11794257032879e-06,1.5,0.2,"Peaks only",0.0918163672654691,0.00357469491918464,33,33
1.07773598165513,3.44954548267451e-06,1.5,0.2,"Troughs only",0.0918163672654691,0.00357469491918464,33,33
0.943375839161868,6.56838427187067e-06,3,0.2,"Peaks only",0.15249500998004,0.00357469491918464,33,33
1.051384782623,6.6943971688179e-06,3,0.2,"Troughs only",0.177644710578842,0.00357469491918464,33,33
1.00367943082322,5.5542092703115e-06,0.5,0.6,"Peaks only",0.118562874251497,0.00357469491918464,33,33
1.05131877071524,4.30660634094256e-06,0.5,0.6,"Troughs only",0.118562874251497,0.00357469491918464,33,33
1.21161955202311,9.23416872063445e-06,1.5,0.6,"Peaks only",0.275449101796407,0.00357469491918464,33,33
1.0485775921719,9.88515571247912e-06,1.5,0.6,"Troughs only",0.275449101796407,0.00357469491918464,33,33
1.01685775247012,1.52648783782739e-05,3,0.6,"Peaks only",0.45748502994012,0.00357469491918464,33,33
0.968783524883694,1.84686339513197e-05,3,0.6,"Troughs only",0.532934131736527,0.00357469491918464,33,33
1.14326470697063,8.19054858467942e-06,0.5,1,"Peaks only",0.197604790419162,0.00357469491918464,33,33
1.06723570789256,6.9819861826171e-06,0.5,1,"Troughs only",0.197604790419162,0.00357469491918464,33,33
1.30104742927304,1.42971213794909e-05,1.5,1,"Peaks only",0.459081836327345,0.00357469491918464,33,33
1.06226698564953,1.56078403409559e-05,1.5,1,"Troughs only",0.459081836327345,0.00357469491918464,33,33
1.00994849131578,2.3634985025549e-05,3,1,"Peaks only",0.7624750499002,0.00357469491918464,33,33
0.895610562105718,2.82730899430299e-05,3,1,"Troughs only",0.888223552894212,0.00357469491918464,33,33
0.800093980819891,6.99337889669041e-06,NA,0.2,"Constant",0.2,0.00473453584109758,34,33
0.751160221632595,1.91875714175921e-05,NA,0.6,"Constant",0.6,0.00473453584109758,34,33
0.657067352379727,2.89028712845973e-05,NA,1,"Constant",1,0.00473453584109758,34,33
0.786398362114277,1.81062389288201e-06,0.5,0.2,"Peaks only",0.0407185628742515,0.00473453584109758,34,33
0.851553517796059,1.17030618404662e-06,0.5,0.2,"Troughs only",0.0395209580838323,0.00473453584109758,34,33
0.862569914469672,3.60698277212907e-06,1.5,0.2,"Peaks only",0.0942115768463074,0.00473453584109758,34,33
0.872363398986389,3.1243499639348e-06,1.5,0.2,"Troughs only",0.0922155688622755,0.00473453584109758,34,33
0.770822257708089,6.18612917018821e-06,3,0.2,"Peaks only",0.153293413173653,0.00473453584109758,34,33
0.854325288825377,6.12892882139978e-06,3,0.2,"Troughs only",0.177245508982036,0.00473453584109758,34,33
0.936119251275515,4.2374070598316e-06,0.5,0.6,"Peaks only",0.122155688622754,0.00473453584109758,34,33
0.858430666090954,3.91018463090118e-06,0.5,0.6,"Troughs only",0.118562874251497,0.00473453584109758,34,33
1.05138817503845,8.40286500767116e-06,1.5,0.6,"Peaks only",0.282634730538922,0.00473453584109758,34,33
0.899148388489431,8.96406141723939e-06,1.5,0.6,"Troughs only",0.276646706586826,0.00473453584109758,34,33
0.853626842096297,1.45956843043659e-05,3,0.6,"Peaks only",0.459880239520958,0.00473453584109758,34,33
0.780670444852567,1.6766424193117e-05,3,0.6,"Troughs only",0.531736526946108,0.00473453584109758,34,33
1.0464680217528,5.35739748215423e-06,0.5,1,"Peaks only",0.203592814371257,0.00473453584109758,34,33
0.887802527370166,6.39831146415106e-06,0.5,1,"Troughs only",0.197604790419162,0.00473453584109758,34,33
1.16707950177592,1.31727131638479e-05,1.5,1,"Peaks only",0.471057884231537,0.00473453584109758,34,33
0.930703582848222,1.41675884312567e-05,1.5,1,"Troughs only",0.461077844311377,0.00473453584109758,34,33
0.865301779061049,2.24888751898814e-05,3,1,"Peaks only",0.766467065868264,0.00473453584109758,34,33
0.715158006145346,2.56997590912522e-05,3,1,"Troughs only",0.88622754491018,0.00473453584109758,34,33
0.584465771096453,6.79978523795272e-06,NA,0.2,"Constant",0.2,0.00627069725876087,35,35
0.468924239471313,1.86619006477416e-05,NA,0.6,"Constant",0.6,0.00627069725876087,35,35
0.283567408647164,2.86082226320402e-05,NA,1,"Constant",1,0.00627069725876087,35,35
